"Word","V1"
"(via",0.00433287863652173
"dream",0.00434182442732957
"falls",0.00443194209920468
"welcomes",0.00449852497023884
"voice",0.00463585421463185
"bill,",0.00467262129930324
"speaking",0.00478058071171573
"nation'",0.00486068673013782
"inhofe:",0.00494840130679799
"require",0.00517533355853893
"campus",0.00518404327284776
"taxes",0.00527813593542186
"improve",0.00529418970003051
"international",0.00554391299208577
"warm",0.00556530627031908
"america’",0.00556626262351738
"land",0.0056128548885034
"fresh",0.00562592871759264
"video",0.00572401508551359
"congress,",0.00574306496144422
"onerous",0.00574936707824535
"running",0.00596751049306354
"growth.",0.00596935700349845
"demands",0.00622639920556111
"critical",0.00657398143955163
"remarks",0.00670535738151929
"front",0.00694037428718748
"cong.",0.00702404498786637
"ability",0.00736014566445943
"voted",0.00736802586909487
"yr.",0.00739312271407292
"biz",0.00751106410633941
"flooding",0.0076982202503683
"wishes",0.00779835474017897
"libyan",0.00846683725176993
"fourth",0.00866532665329604
"goes",0.00903693360267243
"taxes.",0.00915709208412404
"#ncaa",0.00922376532343754
"judicial",0.00926647975916259
"maine",0.0094907519113256
"law,",0.00967035912707201
"prevent",0.00971116229208029
"arkansas",0.0104194468770484
"care.",0.0104292358634216
"collins'",0.0107285833628303
"evening",0.0107663791565974
"thanks,",0.010953778683263
"nominee",0.0109630356286985
"honors",0.0110004086784724
"hosted",0.0112599878257343
"glad",0.0117196556638702
"grand",0.0117277402442045
"law.",0.0119003685167241
"reid",0.0127346673698418
"miller",0.0128384238037752
"sent",0.0132673359791914
"term",0.0133968886655181
"debating",0.0135493351041486
"fuel",0.0136261088793565
"commerce",0.0137260491827204
"mitch",0.0137401809386634
"addressed",0.0138399063092709
"enforcement",0.013984518646725
"dependence",0.0141999571454261
"nomination",0.0144154702587712
"planned",0.0145848165286434
"north",0.014674310514693
"breaking",0.0147580004657038
"tomorrow",0.0148517665222608
"raising",0.0148866124811307
"comprehensive",0.0150306811876941
"budget,",0.0150897670106315
"@robportman",0.0153057851889856
"public",0.0153999303701929
"affordable",0.0155378674567249
"bureau",0.0156461503500086
"rapid",0.0161225737723107
"failure",0.016510450929361
"run",0.0165495975041308
"report",0.0167624677749736
"ensure",0.0172553287054025
"american",0.0173539691540731
"column",0.0175995391690758
"productive",0.0177702111779585
"rand",0.0185079542652555
"budget:",0.0186419018454816
"ceiling",0.0187136678124912
"sorry",0.0193463639585664
"joins",0.0197049606818607
"bold",0.0202065898395448
"gates",0.0208135999942415
"real",0.021380900981574
"laden",0.0220163988215419
"giving",0.0221514406520957
"carolinians",0.0222378503525953
"issue.",0.0226422015177759
"1pm",0.0229360670960716
"idea",0.0229999503639442
"awareness",0.0231016096643556
"alaska",0.0233306590401357
"amazing",0.0241814479763879
"vice",0.0251978826775876
"#2011budget",0.0252084443264136
"dems",0.0255423791877542
"oil",0.0256413471929282
"repeal.",0.0258564283219111
"details",0.0258787498551771
"missing",0.0260161791062371
"conference.",0.0260253630218122
"landed",0.026051003901188
"speech:",0.0265220631277397
"#maidenspeech",0.0268102064270884
"dedicated",0.0270189607649684
"tunnel",0.0277918825327919
"ctr",0.0278114910643762
