missingVotes,district,firstname,title,middlename,lastname,first.name,twitter_id,lo,up,party.y,party.x,state,icpsr.id,idealPoint,gender.y,gender.x,label,nameid,ideal_pointEst
689,8,John,Rep,A.,Boehner,John,SpeakerBoehner,-0.0701985455303929,2.73570704888528,R,R,OH,15806,1.22431593635897,M,M,Boehner (R OH-8),B000589,5.35327595782
11,1,Josiah,Rep,Robins,Bonner,Jo,repjobonner,0.528903908568229,0.774410370985755,R,R,AL,20300,0.653389042525,M,M,Bonner (R AL-1),B001244,2.26532212592
16,45,Mary,Rep,Whitaker,Bono Mack,Mary,MaryBonoMack,0.630880010542061,0.884318747777132,R,R,CA,29775,0.760130242040986,F,F,Bono Mack (R CA-45),B001228,3.78644677492
13,3,Leonard,Rep,L.,Boswell,Leonard,LeonardBoswell,-0.684928703813465,-0.471475064184014,D,D,IA,29721,-0.572440285221023,M,M,Boswell (D IA-3),B000652,1.62129543055
36,7,Charles,Rep,,Boustany,Charles,RepBoustany,0.682050208149647,0.942494610286146,R,R,LA,20514,0.819589102980325,M,M,Boustany Jr. (R LA-7),B001255,1.77477311935
17,1,Robert,Rep,A.,Brady,Robert,RepBrady,-1.23318565575182,-0.910157869573169,D,D,PA,29777,-1.07805407753975,M,M,Brady (D PA-1),B001227,1.6030944156
25,8,Kevin,Rep,P.,Brady,Kevin,RepKevinBrady,1.10598006013331,1.49339799395716,R,R,TX,29760,1.31012828995323,M,M,Brady (R TX-8),B000755,2.20701425076
46,1,Bruce,Rep,,Braley,Bruce,brucebraley,-1.19758012219129,-0.878185618043848,D,D,IA,20719,-1.05087619231872,M,M,Braley (D IA-1),B001259,1.44069369352
12,5,Mo,Rep,,Brooks,Mo,RepMoBrooks,0.765880814428246,1.03090544702213,R,R,AL,NA,0.906983783117246,M,M,Brooks (R AL-5),B001274,2.64202504556
25,10,Paul,Rep,C.,Broun,Paul,RepPaulBrounMD,1.08789562504688,1.44757492100409,R,R,GA,20753,1.25837929456186,M,M,Broun (R GA-10),B001262,3.41620019232
22,13,Vern,Rep,,Buchanan,Vern,VernBuchanan,0.548580207928493,0.796968915340168,R,R,FL,20709,0.675133546712686,M,M,Buchanan (R FL-13),B001260,3.78142186301
6,8,Larry,Rep,,Bucshon,Larry,RepLarryBucshon,0.629283813066524,0.879589148504431,R,R,IN,NA,0.756525845658757,M,M,Bucshon (R IN-8),B001275,2.25649678868
7,25,Ann,Rep,,Buerkle,Ann Marie,RepBuerkle,0.893905020517562,1.1911343150023,R,R,NY,NA,1.05001932804897,F,F,Buerkle (R NY-25),B001276,1.77477311935
11,26,Michael,Rep,C.,Burgess,Michael,michaelcburgess,0.727760725860679,0.99018389233847,R,R,TX,20355,0.868093949620832,M,M,Burgess (R TX-26),B001248,2.66271273474
48,5,Dan,Rep,L.,Burton,Dan,RepDanBurton,1.10204850302705,1.48237286265954,R,R,IN,15013,1.28755332646011,M,M,Burton (R IN-5),B001149,2.88160679878
7,44,Ken,Rep,S.,Calvert,Ken,KenCalvert,0.577174704136928,0.82160203613145,R,R,CA,29323,0.705900577289343,M,M,Calvert (R CA-44),C000059,1.77477311935
11,4,David,Rep,Lee,Camp,Dave,RepDaveCamp,0.551175527612542,0.801995846945184,R,R,MI,15808,0.680118684251114,M,M,Camp (R MI-4),C000071,3.01941181839
46,48,John,Rep,B.T.,Campbell,John,RepJohnCampbell,0.773002512625343,1.04211887188781,R,R,CA,20539,0.910968744964365,M,M,Campbell (R CA-48),C001064,1.77477311935
8,23,Francisco,Rep,,Canseco,Francisco,RepCanseco,0.957973182128331,1.27135726312646,R,R,TX,NA,1.10865198110727,M,M,Canseco (R TX-23),C001082,2.17584324009
64,7,Eric,Rep,I.,Cantor,Eric,gopleader,0.810324358654927,1.0968801168936,R,R,VA,20144,0.962439029549629,M,M,Cantor (R VA-7),C001046,3.926375672
6,2,Shelley,Rep,Moore,Capito,Shelley,RepShelley,0.391036349429152,0.621696832960507,R,R,WV,20146,0.509507957958344,F,F,Capito (R WV-2),C001047,3.58642179756
34,18,Dennis,Rep,A.,Cardoza,Dennis,RepCardoza,-0.424049964890083,-0.234223666286493,D,D,CA,20306,-0.326679514872485,M,M,Cardoza (D CA-18),C001050,1.65709009169
15,3,John,Rep,Russell,Carnahan,Russ,RepCarnahan,-1.11466887383801,-0.822414213088012,D,D,MO,20516,-0.97278676578318,M,M,Carnahan (D MO-3),C001060,1.42824571768
21,31,John,Rep,R.,Carter,John,JudgeCarter,0.686260575803793,0.94949241355674,R,R,TX,20356,0.82449398333404,M,M,Carter (R TX-31),C001051,3.0238856574
4,1,Steven,Rep,J.,Chabot,Steven,RepSteveChabot,1.06388114070722,1.42012102711666,R,R,OH,29550,1.24329244917083,M,M,Chabot (R OH-1),C000266,1.92175247723
