"lastname","state","firstname","middlename","title","party.x","gender.x","twitter_id","first.name","district","party.y","gender.y","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Thompson","MS","Bennie","G.","Rep","D","M","BennieGThompson","Bennie",2,"D","M","T000193",29368,13,-0.945621742821703,-1.09267847396811,-0.804152205796617,"Thompson (D MS-2)"
"Thompson","PA","Glenn","W.","Rep","R","M","CongressmanGT","Glenn",5,"R","M","T000467",NA,5,0.611413940592317,0.487390902792673,0.725705601789638,"Thompson (R PA-5)"
"Tipton","CO","Scott","","Rep","R","M","RepTipton","Scott",3,"R","M","T000470",NA,5,0.768358630136861,0.627828564384956,0.885798110551254,"Tipton (R CO-3)"
"Tonko","NY","Paul","D.","Rep","D","M","PaulTonko","Paul",21,"D","M","T000469",NA,7,-1.38109135590783,-1.59992442427382,-1.17356693257237,"Tonko (D NY-21)"
"Towns","NY","Edolphus","","Rep","D","M","edtowns","Edolphus",10,"D","M","T000326",15072,46,-1.80337640142192,-2.10509586965702,-1.52341914965389,"Towns (D NY-10)"
"Tsongas","MA","Nicola","S.","Rep","D","F","ntsongas","Niki",5,"D","F","T000465",20754,38,-1.08472232764076,-1.25147438405663,-0.918715748460822,"Tsongas (D MA-5)"
"Upton","MI","Frederick","Stephen","Rep","R","M","RepFredUpton","Fred",6,"R","M","U000031",15445,4,0.56192639932701,0.444781024633798,0.676625769913723,"Upton (R MI-6)"
"Visclosky","IN","Peter","J.","Rep","D","M","repvisclosky","Peter",1,"D","M","V000108",15240,18,-0.693678901908849,-0.810475568628969,-0.579205716786163,"Visclosky (D IN-1)"
"Walberg","MI","Timothy","L.","Rep","R","M","RepWalberg","Tim",7,"R","M","W000798",20725,12,1.08014099817561,0.935004623360501,1.23245810134064,"Walberg (R MI-7)"
"Walden","OR","Greg","P.","Rep","R","M","repgregwalden","Greg",2,"R","M","W000791",29932,11,0.553834761784302,0.433025857158047,0.672143538228837,"Walden (R OR-2)"
"Walsh","IL","Joe","","Rep","R","M","joewalsh8th","Joe",8,"R","M","W000811",NA,10,1.01639116764904,0.866159436242108,1.15066480199435,"Walsh (R IL-8)"
"Waters","CA","Maxine","","Rep","D","F","MaxineWaters","Maxine",35,"D","F","W000187",15840,62,-1.14659480391734,-1.31696148796207,-0.976176752055688,"Waters (D CA-35)"
"Weiner","NY","Anthony","David","Rep","D","M","repweiner","Anthony",9,"D","M","W000792",29926,293,-1.18321461757939,-1.39905124810846,-0.983205358086336,"Weiner (D NY-9)"
"West","FL","Allen","","Rep","R","M","AllenWest","Allen",22,"R","M","W000807",NA,6,0.802876942019477,0.676978895054544,0.934499116590144,"West (R FL-22)"
"Westmoreland","GA","Lynn","A.","Rep","R","M","repwestmoreland","Lynn",3,"R","M","W000796",20506,16,1.1855998111927,1.01178123213759,1.35160365504848,"Westmoreland (R GA-3)"
"Wilson","FL","Frederica","","Rep","D","F","RepWilson","Frederica",17,"D","F","W000808",NA,48,-1.25371362595765,-1.45151075345603,-1.058397656249,"Wilson (D FL-17)"
"Wilson","SC","Addison","Graves","Rep","R","M","CongJoeWilson","Joe",2,"R","M","W000795",20138,22,1.31951756160322,1.1142441219713,1.50563589270054,"Wilson (R SC-2)"
"Wittman","VA","Robert","J.","Rep","R","M","RobWittman","Robert",1,"R","M","W000804",99997,24,0.603927697334665,0.481602175833857,0.72302891217942,"Wittman (R VA-1)"
"Womack","AR","Steve","","Rep","R","M","Rep_SteveWomack","Steve",3,"R","M","W000809",NA,4,0.70506369468072,0.589446824396277,0.835056146585689,"Womack (R AR-3)"
"Woolsey","CA","Lynn","C.","Rep","D","F","RepLynnWoolsey","Lynn",6,"D","F","W000738",29309,12,-1.55382313273733,-1.79523752629366,-1.32519039717843,"Woolsey (D CA-6)"
"Yoder","KS","Kevin","","Rep","R","M","KevinYoder","Kevin",3,"R","M","Y000063",NA,5,1.06429820284747,0.900851202739121,1.20229965712894,"Yoder (R KS-3)"
"Young","AK","Donald","E.","Rep","R","M","repdonyoung","Don",1,"R","M","Y000033",14066,103,0.580760956706777,0.465067682243819,0.700104750470625,"Young (R AK-1)"
"Young","IN","Todd","","Rep","R","M","RepToddYoung","Todd",9,"R","M","Y000064",NA,6,1.10497302802634,0.94890740809476,1.25452861034448,"Young (R IN-9)"
