lastname,firstname,middlename,title,party,state,gender,twitter_id
Waters,Maxine,,Rep,D,CA,F,MaxineWaters
Weiner,Anthony,David,Rep,D,NY,M,repweiner
West,Allen,,Rep,R,FL,M,AllenWest
Westmoreland,Lynn,A.,Rep,R,GA,M,repwestmoreland
Wicker,Roger,F.,Sen,R,MS,M,rogerwicker
Wilson,Addison,Graves,Rep,R,SC,M,CongJoeWilson
Wilson,Frederica,,Rep,D,FL,F,RepWilson
Wittman,Robert,J.,Rep,R,VA,M,RobWittman
Womack,Steve,,Rep,R,AR,M,Rep_SteveWomack
Woolsey,Lynn,C.,Rep,D,CA,F,RepLynnWoolsey
Yoder,Kevin,,Rep,R,KS,M,KevinYoder
Young,Donald,E.,Rep,R,AK,M,repdonyoung
Young,Todd,,Rep,R,IN,M,RepToddYoung
